BUURTCODE,buurtname,avg_household_size,houses,avg_price,p_occupied,p_free,bought_houses,rented_houses,rent_corp,rent_private
70,Oostduinen,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Belgisch Park,1.9,4125,370.0,87.0,13.0,60.0,38.0,13.0,25.0
72,Rijslag,1.8,910,352.0,87.0,13.0,50.0,50.0,10.0,40.0
73,Westbroekpark,1.8,600,684.0,75.0,25.0,58.0,38.0,9.0,29.0
74,Duttendel,2.1,617,724.0,83.0,17.0,60.0,38.0,0.0,38.0
75,Uilennest,1.8,1247,351.0,87.0,13.0,76.0,23.0,0.0,23.0
76,Duinzigt,1.7,1744,421.0,84.0,16.0,61.0,38.0,2.0,36.0
77,Waalsdorp,2.3,1748,605.0,87.0,13.0,78.0,21.0,0.0,21.0
78,Arendsdorp,2.2,899,647.0,64.0,36.0,41.0,59.0,24.0,35.0
79,Van Hoytemastraat en omgeving,2.3,1048,487.0,89.0,11.0,73.0,25.0,0.0,25.0
80,Morgenstond-Zuid,1.9,3082,118.0,97.0,3.0,16.0,84.0,70.0,14.0
81,Bosjes van Pex,1.9,213,314.0,91.0,9.0,86.0,14.0,0.0,14.0
82,Rosenburg,1.7,1576,204.0,96.0,4.0,33.0,67.0,43.0,24.0
83,Eykenduinen,2.0,1336,243.0,96.0,4.0,74.0,26.0,4.0,22.0
84,Leyenburg,1.9,7645,157.0,95.0,5.0,59.0,41.0,12.0,29.0
85,Kerketuinen en Zichtenburg,1.3,56,0.0,77.0,23.0,7.0,93.0,86.0,7.0
86,Houtwijk,2.2,5675,223.0,97.0,3.0,55.0,45.0,39.0,6.0
87,"Venen, Oorden en Raden",2.1,3730,141.0,98.0,2.0,24.0,76.0,54.0,21.0
88,Morgenstond-West,2.2,3398,177.0,95.0,5.0,43.0,57.0,38.0,19.0
89,Morgenstond-Oost,1.7,3355,118.0,91.0,9.0,15.0,85.0,73.0,12.0
90,Ockenburgh,2.2,348,687.0,63.0,37.0,52.0,47.0,0.0,47.0
91,Kijkduin,2.0,818,496.0,93.0,7.0,54.0,45.0,14.0,32.0
92,Bohemen en Meer en Bos,1.7,2895,248.0,90.0,10.0,60.0,40.0,17.0,22.0
93,Componistenbuurt,1.8,1070,255.0,94.0,6.0,85.0,14.0,0.0,14.0
94,Waldeck-Noord,1.5,2249,190.0,93.0,7.0,49.0,50.0,21.0,29.0
95,Kom Loosduinen,1.8,2963,172.0,95.0,5.0,34.0,65.0,43.0,23.0
96,"Zijden, Steden en Zichten",2.1,3563,131.0,98.0,2.0,27.0,73.0,63.0,10.0
97,Kraayenstein en Vroondaal,2.2,2839,340.0,93.0,7.0,56.0,43.0,22.0,21.0
98,Dreven en Gaarden,2.1,4658,148.0,97.0,3.0,24.0,75.0,67.0,8.0
99,De Uithof,1.9,790,276.0,95.0,5.0,35.0,65.0,65.0,1.0
100,Duindorp,2.1,2839,201.0,97.0,3.0,42.0,58.0,52.0,6.0
101,Erasmus Veld,2.4,728,285.0,97.0,3.0,36.0,64.0,46.0,18.0
102,Hoge Veld,2.8,3044,322.0,98.0,2.0,57.0,43.0,30.0,13.0
103,Parkbuurt Oosteinde,2.8,1222,395.0,98.0,2.0,94.0,6.0,2.0,3.0
104,Lage Veld,2.6,1631,271.0,98.0,2.0,55.0,45.0,42.0,3.0
105,Zonne Veld,2.8,1094,298.0,99.0,1.0,65.0,35.0,26.0,10.0
106,Vlietzoom-West,2.1,65,542.0,89.0,11.0,94.0,6.0,0.0,6.0
107,Vliegeniersbuurt,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Bosweide,3.1,669,650.0,95.0,5.0,94.0,5.0,0.0,5.0
109,Tedingerbroek,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,De Reef,1.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,De Venen,2.3,738,265.0,97.0,3.0,31.0,69.0,56.0,13.0
112,Morgenweide,2.6,2729,281.0,97.0,3.0,48.0,52.0,21.0,31.0
113,Singels,2.6,2017,282.0,97.0,3.0,60.0,39.0,26.0,13.0
114,Waterbuurt,2.6,1683,271.0,98.0,2.0,54.0,46.0,25.0,21.0
115,De Bras,3.1,1879,398.0,98.0,2.0,64.0,36.0,28.0,8.0
116,Vlietzoom-Oost,2.2,33,0.0,88.0,12.0,88.0,12.0,0.0,12.0
117,De Rivieren,2.9,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,De Lanen,3.0,1775,349.0,98.0,2.0,70.0,30.0,26.0,4.0
119,De Velden,2.7,1522,339.0,98.0,2.0,64.0,36.0,19.0,17.0
120,De Vissen,2.7,3165,333.0,96.0,4.0,66.0,34.0,32.0,1.0
121,Rietbuurt,3.0,901,387.0,99.0,1.0,66.0,34.0,33.0,1.0
