Key;Title;Description;Datatype;Unit
HuishoudensMetKinderen_31;Huishoudens met kinderen;Meerpersoonshuishoudens met kinderen bestaan uit niet-gehuwde paren met kinderen, echtparen met kinderen en eenouderhuishoudens.;Long;aantal
GemiddeldeHuishoudensgrootte_32;Gemiddelde huishoudensgrootte;Dit gemiddelde is berekend als het aantal in particuliere huishoudens levende personen gedeeld door het aantal particuliere huishoudens.;Double;aantal
Bevolkingsdichtheid_33;Bevolkingsdichtheid;"Het (niet afgeronde) aantal inwoners per km² land is bepaald door het (niet afgeronde) aantal inwoners op 1 januari te delen door de (niet afgeronde) landoppervlakte. 
De bevolkingsdichtheid is opgenomen indien er 10 of meer inwoners in de buurt voorkomen.

";Long;aantal inwoners per km²
;Wonen;;;
Woningvoorraad_34;Woningvoorraad;Het totale aantal woningen op 1 januari van het desbetreffende jaar. Een woning is een verblijfsobject met minimaal een woonfunctie en eventueel één of meer andere gebruiksfuncties.;Long;aantal
GemiddeldeWoningwaarde_35;Gemiddelde woningwaarde;"De gemiddelde waarde onroerende zaken van woonobjecten gebaseerd op de Wet Waardering Onroerende Zaken (WOZ-waarde).
Voor de bepaling van de gemiddelde woningwaarde wordt alleen gebruik gemaakt van die WOZ-objecten omschreven als woningen dienend tot hoofdverblijf (WOZ-objectcode 10) en woningen met praktijkruimte (WOZ-objectcode 11) met een waarde groter dan nul euro.

De (voorlopig) gemiddelde woningwaarde wordt bepaald met de waardepeildatum van voorgaand jaar, bijv:
- 2017: waardepeildatum 1 januari 2016

Wanneer de woningvoorraad kleiner is dan 20 woningen of het aantal WOZ-objecten kleiner is dan 50 wordt er geen WOZ-waarde opgenomen.

";Long;x 1 000 euro
;Woningen naar type;Er worden twee typen woningen onderscheiden, eengezins en meergezins. Een woning heeft het type meergezins wanneer het samen met andere woningen of (bedrijfs)ruimten een geheel pand vormt. Hieronder vallen flats, galerij-, portiek-, beneden- en bovenwoningen, appartementen en woningen boven bedrijfsruimten, voorzover deze zijn voorzien van een buiten de bedrijfsruimte gelegen toegangsdeur. Alle overige woningen hebben het type eengezins.;;
PercentageEengezinswoning_36;Percentage eengezinswoning;"Peildatum: 1 januari van het desbetreffende jaar.
Het aantal eengezinswoningen is vermeld als percentage van de totale woningvoorraad en wordt alleen vermeld bij minimaal 20 woningen.
Eengezinswoning: Elke woning die tevens een geheel pand vormt. Hieronder vallen vrijstaande woningen, aaneengebouwde woningen, zoals twee onder één kap gebouwde hele huizen, boerderijen met woningen en voorts alle rijenhuizen.
";Long;%
PercentageMeergezinswoning_37;Percentage meergezinswoning;"Peildatum: 1 januari van het desbetreffende jaar.
Het aantal meergezinswoningen is vermeld als percentage van de totale woningvoorraad en wordt alleen vermeld bij minimaal 20 woningen.
Meergezinswoning : Elke woning die samen met andere woonruimten c.q. bedrijfsruimten een geheel pand vormt. Hieronder vallen flats, galerij-, portiek-, beneden- en bovenwoningen, appartementen en woningen boven bedrijfsruimten, voor zover deze zijn voorzien van een buiten de bedrijfsruimte gelegen toegangsdeur.

";Long;%
;Woningen naar bewoning;Een woning is bewoond als er volgens de Basisregistratie Personen (BRP) op peildatum 1 januari minimaal 1 persoon stond ingeschreven op het bijbehorende adres. Alle overige woningen, die wel voor bewoning beschikbaar zijn, worden beschouwd als onbewoond.;;
PercentageBewoond_38;Percentage bewoond;"Peildatum: 1 januari van het desbetreffende jaar.
Het aantal bewoonde woningen is vermeld als percentage van de totale woningvoorraad en wordt alleen vermeld bij minimaal 20 woningen.
Bewoonde woningen: Woningen waar op de peildatum 1 januari minimaal 1 persoon stond ingeschreven in de Basisregistratie Personen (BRP).
";Long;%
PercentageOnbewoond_39;Percentage onbewoond;"Peildatum: 1 januari van het desbetreffende jaar.
Het aantal leegstaande woningen is vermeld als percentage van de totale woningvoorraad en wordt alleen vermeld bij minimaal 20 woningen.
Niet-bewoonde woningen: Woningen waar op de peildatum 1 januari niemand stond ingeschreven in de Basisregistratie Personen (BRP).

";Long;%
;Woningen naar eigendom;Informatie over huur- en koopwoningen wordt samengesteld uit een koppeling tussen verschillende bronnen.;;
Koopwoningen_40;Koopwoningen;"Woningen die eigendom zijn van de (toekomstige) bewoner(s) of in gebruik als tweede woning. 

Peildatum: 1 januari van het desbetreffende jaar.
Het aantal is vermeld als percentage van het totaal aantal woningen en vermeld bij 20 woningen of meer per buurt en wanneer het aandeel woningen met eigendom onbekend 50 procent of minder bedroeg.

";Long;%
;Huurwoningen;Woningen die niet bewoond worden door de eigenaar van de woning. Bij woningen waar geen bewoner geregistreerd is, gaat het om woningen waarvan het aannemelijk is dat de woning bestemd is voor de huurmarkt.;;
HuurwoningenTotaal_41;Huurwoningen totaal;"Peildatum: 1 januari van het desbetreffende jaar.
Het aantal is vermeld als percentage van het totaal aantal woningen en vermeld bij 20 woningen of meer per buurt en wanneer het aandeel woningen met eigendom onbekend 50 procent of minder bedroeg.
";Long;%
InBezitWoningcorporatie_42;In bezit woningcorporatie;"Huurwoningen in eigendom van 'toegelaten instellingen volkshuisvesting'. Het betreft het aantal huurwoningen waarvan is vastgesteld dat de eigenaar een toegelaten instelling is. Het betreft niet het aantal sociale huurwoningen, omdat er alleen is vastgesteld wie de eigenaar is en er niet is gekeken naar de hoogte van de huurprijs.
Toegelaten instellingen: woningbouwvereniging, woningstichting, woningcorporatie. 
Sociale huurwoningen: woningen met een huur onder de liberalisatiegrens.

Peildatum: 1 januari van het desbetreffende jaar.
Het aantal is vermeld als percentage van het totaal aantal woningen en vermeld bij 20 woningen of meer per buurt en wanneer het aandeel woningen met eigendom onbekend 50 procent of minder bedroeg.

";Long;%
InBezitOverigeVerhuurders_43;In bezit overige verhuurders;"Een huurwoning in eigendom van onder andere bedrijven, particulieren en institutionele beleggers. Huurwoningen waarvan het eigendom wel kon worden vastgesteld maar de eigenaar niet vallen hier ook onder. 
Bedrijven: alle instellingen met een bedrijfsmatig karakter zoals bv's en nv's, zelfstandige ondernemers, makelaars en vastgoedhandelsmaatschappijen.
Particulieren: alle natuurlijke personen.
Institutionele beleggers: pensioenfondsen, beurs-, beleggings- en verzekeringsmaatschappijen.

Peildatum: 1 januari van het desbetreffende jaar.
Het aantal is vermeld als percentage van het totaal aantal woningen en vermeld bij 20 woningen of meer per buurt en wanneer het aandeel woningen met eigendom onbekend 50 procent of minder bedroeg.

";Long;%
EigendomOnbekend_44;Eigendom onbekend;"Woningen waarvan het eigendom niet afgeleid kon worden op basis van diverse registraties zoals het WOZ-register, Personenregister en het woningbestand Kadaster. 

Peildatum: 1 januari van het desbetreffende jaar.
Het aantal is vermeld als percentage van het totaal aantal woningen en vermeld bij 20 woningen of meer per buurt en wanneer het aandeel woningen met eigendom onbekend 50 procent of minder bedroeg.
";Long;%
;Woningen naar bouwjaar;"De aanduiding van het bouwjaar van een pand, waarin een woning zich bevindt. Oorspronkelijk als het pand bouwkundig gereed is of wordt opgeleverd. Latere wijziging aan een pand leidt niet tot wijziging van het bouwjaar. Bij een verblijfobject dat in meerdere panden is gelegen, wordt het oudste bouwjaar genomen.
De bouwjaarklasse heeft hier twee waarden: 
1) in of na het jaar 2000 gebouwd; 
2) vóór het jaar 2000 gebouwd.
";;
BouwjaarVoor2000_45;Bouwjaar voor 2000;"Peildatum: 1 januari van het desbetreffende jaar.
Het aantal woningen met bouwjaar vóór 2000, uitgedrukt in hele procenten van het totaal aantal woningen. Het percentage is vermeld bij 20 woningen of meer per buurt.
";Long;%
BouwjaarVanaf2000_46;Bouwjaar vanaf 2000;"Peildatum: 1 januari van het desbetreffende jaar.
Het aantal woningen met bouwjaar 2000 of later, uitgedrukt in hele procenten van het totaal aantal woningen. Het percentage is vermeld bij 20 woningen of meer per buurt.
";Long;%
;Energie;;;
;Gemiddeld elektriciteitsverbruik;"Het gemiddeld jaarverbruik voor elektriciteit op individuele aansluitingen van particuliere woningen, zoals berekend vanuit de aansluitingenregisters van de energienetbedrijven. De eigen opwekking van elektriciteit, bijvoorbeeld met zonnepanelen, is niet bekend en dus ook niet inbegrepen in het gemiddelde jaarverbruik. Ook collectieve verbruiken van bijvoorbeeld liftinstallaties of hal-/galerijverlichting zijn niet meegeteld bij de berekening. 

De cijfers zijn afgerond op vijftigtallen en vermeld bij zes of meer (bewoonde) woningen per woningtype of type eigendom.
";;
GemiddeldElektriciteitsverbruikTotaal_47;Gemiddeld elektriciteitsverbruik totaal;Het gemiddeld elektriciteitsverbruik voor alle woningtypen samen.;Long;kWh
;Naar woningtype;"De volgende typen worden onderscheiden: appartement, tussenwoning, hoekwoning, twee-onder-één-kap-woning en vrijstaande woning. 
De typering wordt bepaald door het Kadaster.
";;
Appartement_48;Appartement;Een geheel van bij elkaar horende vertrekken als afzonderlijke woongelegenheid binnen een grotere woning waarbij de opdeling van het gebouw heeft plaatsgevonden volgens het appartementsrecht. Een bovenwoning of flat die geen appartement is wordt niet meegenomen bij het berekenen van de verbruikscijfers.;Long;kWh
Tussenwoning_49;Tussenwoning;;Long;kWh
Hoekwoning_50;Hoekwoning;;Long;kWh
TweeOnderEenKapWoning_51;Twee-onder-één-kap-woning;;Long;kWh
VrijstaandeWoning_52;Vrijstaande woning;;Long;kWh
;Naar eigendom;De volgende typen worden onderscheiden: huur- of koopwoning.  Deze informatie wordt samengesteld uit een koppeling tussen de Basisregistratie Adressen en Gebouwen (BAG) en het WOZ-register met een aanvulling uit het woningbestand van het Kadaster.;;
Huurwoning_53;Huurwoning;Woningen in eigendom van 'toegelaten instellingen' (woningcorporaties), van institutionele beleggers of van particulieren die de woning verhuren aan de bewoner.;Long;kWh
EigenWoning_54;Eigen woning;Woningen die eigendom zijn of worden van de (toekomstige) bewoners.;Long;kWh
;Gemiddeld aardgasverbruik;"Het gemiddeld jaarverbruik voor aardgas van particuliere woningen, zoals berekend uit de aansluitingenregisters van de energienetbedrijven.
Bij de berekening van het gemiddeld aardgasverbruik zijn woningen met een zeer laag of zelfs nulverbruik meegeteld indien er sprake is van stadsverwarming. Hierdoor valt in gebieden waar stadsverwarming aanwezig is het gemiddeld aardgasverbruik van woningen laag uit.

De cijfers zijn afgerond op vijftigtallen en vermeld bij zes of meer (bewoonde) woningen per woningtype of type eigendom.

";;
GemiddeldAardgasverbruikTotaal_55;Gemiddeld aardgasverbruik totaal;Het gemiddeld aardgasverbruik voor alle woningtypen samen.;Long;m³
;Naar woningtype;De volgende typen worden onderscheiden: appartement, tussenwoning, hoekwoning, twee-onder-één-kap-woning en vrijstaande woning. De typering wordt bepaald door het Kadaster.;;
Appartement_56;Appartement;Een geheel van bij elkaar horende vertrekken als afzonderlijke woongelegenheid binnen een grotere woning waarbij de opdeling van het gebouw heeft plaatsgevonden volgens het appartementsrecht. Een bovenwoning of flat die geen appartement is wordt niet meegenomen bij het berekenen van de verbruikscijfers.;Long;m³
Tussenwoning_57;Tussenwoning;;Long;m³
Hoekwoning_58;Hoekwoning;;Long;m³
TweeOnderEenKapWoning_59;Twee-onder-één-kap-woning;;Long;m³
VrijstaandeWoning_60;Vrijstaande woning;;Long;m³
;Naar eigendom;De volgende typen worden onderscheiden: huur- of koopwoning.  Deze informatie wordt samengesteld uit een koppeling tussen de Basisregistratie Adressen en Gebouwen (BAG) en het WOZ-register met een aanvulling uit het woningbestand van het Kadaster.;;
Huurwoning_61;Huurwoning;Woningen in eigendom van 'toegelaten instellingen' (woningcorporaties), van institutionele beleggers of van particulieren die de woning verhuren aan de bewoner.;Long;m³
EigenWoning_62;Eigen woning;Woningen die eigendom zijn of worden van de (toekomstige) bewoners.;Long;m³
PercentageWoningenMetStadsverwarming_63;Percentage woningen met stadsverwarming;"Het percentage woningen dat is aangesloten op stadsverwarming. 

Stadsverwarming is een verwarmingssysteem waarbij de woningen in een wijk worden verwarmd via een ondergronds netwerk van warmwaterleidingen. In veel gevallen maakt stadsverwarming gebruik van restwarmte van bijvoorbeeld elektriciteitscentrales. Het aardgasverbruik van deze woningen is in veel gevallen zeer laag of zelfs nul. De hoeveelheid warmte die door aangesloten woningen in een jaar wordt afgenomen van de stadsverwarming is niet beschikbaar. Het percentage is vermeld bij tien of meer (bewoonde) woningen. Voor de gemeentes is een percentage van minder dan vijf of groter dan 95 afgerond op vijftallen.
";Double;%
;Inkomen;"Deze tabel geeft informatie over het persoonlijk inkomen van personen in particuliere huishoudens waarvan het inkomen is waargenomen en het inkomen van particuliere huishoudens met een waargenomen inkomen. De gegevens komen uit de Integrale Inkomens- en Vermogensstatistiek (IIVS) met als populatie de bevolking van Nederland op 1 januari van het verslagjaar met het inkomen over het verslagjaar. 

De Integrale Inkomens- en Vermogensstatistiek van het CBS is voornamelijk gebaseerd op registers afkomstig van het Ministerie van Financiën (de fiscale registers) en de bevolkingsregisters van de Nederlandse gemeenten (Basisregistratie personen). De Basisregistratie personen is een register waarin alle inwoners van een gemeente behoren te zijn ingeschreven. Uitgezonderd zijn:
- Inwoners van Nederland die gebruik maken van uitzonderingsregels die gelden met betrekking tot opneming in de bevolkingsregisters (niet-Nederlandse diplomaten en niet-Nederlandse NAVO militairen). Zij mogen zelf bepalen of zij in de bevolkingsregisters ingeschreven worden of niet.
- Asielzoekers die korter dan zes maanden in de centrale opvang verblijven en nog geen verblijfsvergunning hebben gekregen.
";;
;Inkomen van personen;"De doelpopulatie bestaat uit personen behorende tot particuliere huishoudens waarvan het inkomen is waargenomen.
 
De inkomensgegevens zijn gebaseerd op het persoonlijk inkomen. Dit omvat de volgende bestanddelen van het bruto-inkomen van een persoon:
- inkomen uit arbeid;
- inkomen uit eigen onderneming;
- uitkering inkomensverzekeringen;
- uitkering sociale voorzieningen (met uitzondering van kinderbijslag).
";;
AantalInkomensontvangers_64;Aantal inkomensontvangers  ;"Personen met persoonlijk inkomen in particuliere huishoudens. 
De cijfers zijn afgerond op honderdtallen.
";Long;aantal
GemiddeldInkomenPerInkomensontvanger_65;Gemiddeld inkomen per inkomensontvanger ;"Het rekenkundig gemiddeld persoonlijk inkomen per persoon op basis van personen met persoonlijk inkomen die deel uitmaken van particuliere huishoudens.
De waarde is vermeld bij minimaal 100 personen met persoonlijk inkomen in particuliere huishoudens per regio.";Double;x 1 000 euro
GemiddeldInkomenPerInwoner_66;Gemiddeld inkomen per inwoner ;"Het rekenkundig gemiddeld persoonlijk inkomen per persoon op basis van de totale bevolking in particuliere huishoudens.
De waarde is vermeld bij minimaal 100 personen in particuliere huishoudens per regio.";Double;x 1 000 euro
k_40PersonenMetLaagsteInkomen_67;40% personen met laagste inkomen;"Aandeel personen in particuliere huishoudens die behoren tot de landelijke 40% personen met het laagste persoonlijk inkomen.
Personen met persoonlijk inkomen in particuliere huishoudens zijn ingedeeld naar hoogte van het persoonlijk inkomen. 
De indeling vindt plaats nadat alle personen landelijk zijn gerangschikt van laag naar hoog persoonlijk inkomen. Tot de laagste 40-procent-groep worden de veertig procent personen met het laagste persoonlijk inkomen gerekend.
Het persoonlijk inkomen omvat inkomen uit arbeid, inkomen uit eigen onderneming, uitkering inkomensverzekeringen en uitkering sociale voorzieningen (met uitzondering van kinderbijslag).
Het percentage is vermeld bij minimaal 100 personen met persoonlijk inkomen in particuliere huishoudens per regio.

";Double;%
k_20PersonenMetHoogsteInkomen_68;20% personen met hoogste inkomen;"Aandeel personen in particuliere huishoudens die behoren tot de landelijke 20% personen met het hoogste persoonlijk inkomen.
Personen met persoonlijk inkomen in particuliere huishoudens zijn ingedeeld naar hoogte van het persoonlijk inkomen. 
De indeling vindt plaats nadat alle personen landelijk zijn gerangschikt van laag naar hoog persoonlijk inkomen. Tot de hoogste 20-procent-groep worden de twintig procent personen met het hoogste persoonlijk inkomen gerekend.
Het persoonlijk inkomen omvat inkomen uit arbeid, inkomen uit eigen onderneming, uitkering inkomensverzekeringen en uitkering sociale voorzieningen (met uitzondering van kinderbijslag).
Het percentage is vermeld bij minimaal 100 personen met persoonlijk inkomen in particuliere huishoudens per regio.
";Double;%
Actieven1575Jaar_69;Actieven 15-75 jaar;"Het aandeel personen van 15 tot 75 jaar in particuliere huishuishoudens met als persoonlijke voornaamste inkomensbron inkomen uit arbeid of inkomen uit eigen onderneming, uitgedrukt in hele procenten van het totale aantal personen van 15 tot 75 jaar in particuliere huishoudens.
Het percentage is vermeld bij minimaal 100 personen van 15 tot 75 jaar in particuliere huishoudens.

";Double;%
